School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2015,Reading,8,0018,Adair-Casey,13,22,59.1,50.1 - 60%,
2015,Reading,3,3168,IKM-Manning,39,45,86.7,80.1 - 90%,
2016,Reading,4,4572,Murray,15,23,65.2,60.1 - 70%,
2015,Reading,11,0018,Adair-Casey,18,25,72.0,70.1 - 80%,
2015,Reading,4,3168,IKM-Manning,34,40,85.0,80.1 - 90%,
2015,Reading,5,0720,Bondurant-Farrar,98,115,85.2,80.1 - 90%,
2015,Reading,3,0027,Adel DeSoto Minburn,107,125,85.6,80.1 - 90%,
2015,Reading,4,0027,Adel DeSoto Minburn,106,116,91.4,90.1 - 100%,
2015,Reading,5,0027,Adel DeSoto Minburn,88,94,93.6,90.1 - 100%,
2015,Reading,6,0720,Bondurant-Farrar,103,128,80.5,80.1 - 90%,
2015,Reading,6,0027,Adel DeSoto Minburn,99,113,87.6,80.1 - 90%,
2015,Reading,7,0027,Adel DeSoto Minburn,96,112,85.7,80.1 - 90%,
2015,Reading,8,0027,Adel DeSoto Minburn,98,106,92.5,90.1 - 100%,
2015,Reading,5,3168,IKM-Manning,45,51,88.2,80.1 - 90%,
2015,Reading,11,0027,Adel DeSoto Minburn,95,105,90.5,90.1 - 100%,
2015,Reading,7,0720,Bondurant-Farrar,105,120,87.5,80.1 - 90%,
2015,Reading,6,3168,IKM-Manning,31,41,75.6,70.1 - 80%,
2015,Reading,3,0063,Akron Westfield,35,38,92.1,90.1 - 100%,
2015,Reading,8,0720,Bondurant-Farrar,101,117,86.3,80.1 - 90%,
2016,Reading,3,3465,Lamoni,12,16,75.0,70.1 - 80%,
2015,Reading,4,0063,Akron Westfield,27,35,77.1,70.1 - 80%,
2015,Reading,7,3168,IKM-Manning,36,39,92.3,90.1 - 100%,
2016,Math,8,6102,Spencer,108,131,82.4,80.1 - 90%,
2015,Reading,5,0063,Akron Westfield,28,31,90.3,90.1 - 100%,
2016,Math,6,4269,Midland,17,27,63.0,60.1 - 70%,
2015,Reading,6,0063,Akron Westfield,21,29,72.4,70.1 - 80%,
2016,Math,4,0234,Anamosa,62,75,82.7,80.1 - 90%,
2016,Math,5,6516,Twin Rivers,,,,Not Reportable,
2016,Math,4,1926,Durant,31,46,67.4,60.1 - 70%,
2015,Reading,7,0063,Akron Westfield,28,38,73.7,70.1 - 80%,
2015,Reading,11,0720,Bondurant-Farrar,89,105,84.8,80.1 - 90%,
2016,Reading,6,3141,Iowa City,708,934,75.8,70.1 - 80%,
2015,Reading,8,0063,Akron Westfield,21,27,77.8,70.1 - 80%,
2015,Reading,11,0063,Akron Westfield,28,30,93.3,90.1 - 100%,
2015,Reading,3,0729,Boone,98,130,75.4,70.1 - 80%,
2015,Reading,5,0153,North Butler,36,44,81.8,80.1 - 90%,
2015,Reading,4,0729,Boone,99,108,91.7,90.1 - 100%,
2016,Reading,4,6512,Twin Cedars,23,31,74.2,70.1 - 80%,
2015,Reading,6,0153,North Butler,30,35,85.7,80.1 - 90%,
2015,Reading,5,0729,Boone,92,112,82.1,80.1 - 90%,
2015,Reading,7,0153,North Butler,26,35,74.3,70.1 - 80%,
2016,Math,7,0414,Audubon,37,39,94.9,90.1 - 100%,
2016,Reading,11,5184,Perry,90,122,73.8,70.1 - 80%,
2015,Reading,8,0153,North Butler,36,45,80.0,70.1 - 80%,
2015,Reading,6,0729,Boone,104,125,83.2,80.1 - 90%,
2015,Reading,11,0153,North Butler,39,46,84.8,80.1 - 90%,
2015,Reading,7,0729,Boone,102,140,72.9,70.1 - 80%,
2015,Reading,3,0171,Alta,30,37,81.1,80.1 - 90%,
2015,Reading,8,0729,Boone,106,136,77.9,70.1 - 80%,
2015,Reading,4,0171,Alta,25,38,65.8,60.1 - 70%,
2015,Reading,11,0729,Boone,132,156,84.6,80.1 - 90%,
2016,Math,5,5994,Sibley-Ocheyedan,55,61,90.2,90.1 - 100%,
2015,Reading,5,0171,Alta,24,33,72.7,70.1 - 80%,
2015,Reading,3,0747,Boyden-Hull,45,47,95.7,90.1 - 100%,
2015,Reading,6,0171,Alta,0,0,0.0,Not Reportable,
2015,Reading,7,0171,Alta,0,0,0.0,Not Reportable,
2015,Reading,4,0747,Boyden-Hull,43,45,95.6,90.1 - 100%,
2015,Reading,8,0171,Alta,0,0,0.0,Not Reportable,
2015,Reading,7,1449,Corwith-Wesley,,,,Not Reportable,
2016,Math,8,6462,Tri-County,13,16,81.3,80.1 - 90%,
2016,Math,7,4869,Oelwein,68,83,81.9,80.1 - 90%,
2016,Reading,4,3897,LuVerne,,,,Not Reportable,
2015,Reading,11,0171,Alta,46,52,88.5,80.1 - 90%,
2015,Reading,8,1449,Corwith-Wesley,8,10,80.0,70.1 - 80%,
2015,Reading,3,0225,Ames,228,255,89.4,80.1 - 90%,
2015,Reading,11,1449,Corwith-Wesley,,,,Not Reportable,
2015,Reading,4,0225,Ames,220,247,89.1,80.1 - 90%,
2016,Math,8,0999,Carroll,90,102,88.2,80.1 - 90%,
2015,Reading,5,0225,Ames,265,304,87.2,80.1 - 90%,
2015,Reading,6,0916,CAL,8,17,47.1,40.1 - 50%,
2015,Reading,6,0225,Ames,214,246,87.0,80.1 - 90%,
2015,Reading,11,0999,Carroll,106,108,98.1,90.1 - 100%,
2016,Reading,4,0243,Andrew,10,15,66.7,60.1 - 70%,
2015,Reading,7,0225,Ames,250,279,89.6,80.1 - 90%,
2015,Reading,3,1476,Council Bluffs,390,626,62.3,60.1 - 70%,
2015,Reading,4,1476,Council Bluffs,402,602,66.8,60.1 - 70%,
2016,Math,5,5463,Red Oak,53,66,80.3,80.1 - 90%,
2015,Reading,8,0225,Ames,243,285,85.3,80.1 - 90%,
2015,Reading,11,0225,Ames,237,264,89.8,80.1 - 90%,
2015,Reading,8,3168,IKM-Manning,48,54,88.9,80.1 - 90%,
2015,Reading,11,3168,IKM-Manning,45,49,91.8,90.1 - 100%,
2015,Reading,3,0234,Anamosa,60,79,75.9,70.1 - 80%,
2015,Reading,7,3420,Lake Mills,40,48,83.3,80.1 - 90%,
2015,Reading,5,1476,Council Bluffs,370,541,68.4,60.1 - 70%,
2016,Reading,7,5751,St Ansgar,45,53,84.9,80.1 - 90%,
2016,Math,6,4860,Odebolt-Arthur,54,64,84.4,80.1 - 90%,
2015,Reading,4,0234,Anamosa,58,75,77.3,70.1 - 80%,
2015,Reading,6,1476,Council Bluffs,397,584,68.0,60.1 - 70%,
2015,Reading,8,3420,Lake Mills,28,36,77.8,70.1 - 80%,
2016,Math,8,5256,Pleasantville,39,54,72.2,70.1 - 80%,
2015,Reading,5,0234,Anamosa,57,75,76.0,70.1 - 80%,
2015,Reading,11,3420,Lake Mills,38,44,86.4,80.1 - 90%,
2015,Reading,6,0234,Anamosa,51,78,65.4,60.1 - 70%,
2015,Reading,7,0234,Anamosa,75,97,77.3,70.1 - 80%,
2015,Reading,8,0234,Anamosa,74,91,81.3,80.1 - 90%,
2015,Reading,7,1476,Council Bluffs,410,571,71.8,70.1 - 80%,
2015,Reading,8,1476,Council Bluffs,356,520,68.5,60.1 - 70%,
2015,Reading,11,0234,Anamosa,73,92,79.3,70.1 - 80%,
2015,Reading,11,1476,Council Bluffs,348,499,69.7,60.1 - 70%,
2016,Reading,8,6100,South Winneshiek,21,28,75.0,70.1 - 80%,
2015,Reading,3,1503,Creston,68,96,70.8,70.1 - 80%,
